120.078286,30.152956,3,0,2,8,2,2,6,????????????,18768506970?????????,????????????,??????,25000,????????? https://hangzhou.anjuke.com
120.094272,30.139964,3,7,2,12,2,6,1,??????,13376818190?????????,?????????100???,??????,24545,????????? https://hangzhou.anjuke.com
120.094272,30.139965,3,4,6,13,4,2,3,??????,15088632215?????????,?????????100???,??????,21489,????????? https://hangzhou.anjuke.com
120.164297,30.271822,3,7,2,10,5,2,6,???????????????,15002430252?????????,?????????,??????,49206,????????? https://hangzhou.anjuke.com
120.16678,30.274054,6,1,2,8,6,4,4,?????????????????????,15267428884?????????,???????????????,??????,49107,????????? https://hangzhou.anjuke.com
120.16492,30.274855,5,3,3,7,4,3,4,????????????,18757586826?????????,?????????399???,??????,63291,????????? https://hangzhou.anjuke.com
120.204233,30.279762,6,0,2,8,6,2,7,??????????????????,400 039 1357,????????????95???,??????,52000,?????? http://dianhua.mapbar.com
120.222073,30.354293,3,1,5,3,1,6,2,????????€??????,"400 603 2266
???
74218",??????????????????????????????,??????,,????????? https://hangzhou.anjuke.com
120.235172,30.305407,3,6,6,10,4,0,4,???????????????,"400 603 2266
???
79524",??????????????????????????????,??????,36000,????????? https://hangzhou.anjuke.com
120.107229,30.339101,3,5,3,6,2,2,1,?????????,"400 603 2266
???
12878",????????????1399???,??????,29000,????????? https://hangzhou.anjuke.com
120.150671,30.309699,3,0,3,6,5,2,6,??????????????????,"400 603 2266
???
27436",??????CBD?????????100???,??????,26800,????????? https://hangzhou.anjuke.com
120.107768,30.32764,3,0,2,5,6,2,6,????????????,"400 603 2266
???
61184",?????????????????????????????????,????????????,35667,????????? https://hangzhou.anjuke.com
120.343304,30.316478,6,3,5,5,6,2,4,??????????????????,"400 603 2266
???
74443",??????????????????????????????????????????,??????,18667,????????? https://hangzhou.anjuke.com
120.391378,30.317858,3,2,4,8,6,2,4,??????????????????,"400 603 2266
???
12825",2????????????25??????????????????,??????,23331,????????? https://hangzhou.anjuke.com
120.396764,30.360175,5,2,3,7,6,2,6,????????????,"400 603 2266
???
25275",?????????48???,??????,18000,????????? https://hangzhou.anjuke.com
120.22291,30.217663,3,5,2,5,7,4,2,????€€???,15715798083?????????,?????????2028???,??????,35111,????????? https://hangzhou.anjuke.com
120.221147,30.201259,5,4,4,8,5,2,4,???????????????,15606810303?????????,?????????,??????,30666,????????? https://hangzhou.anjuke.com
120.231581,30.216833,2,2,3,8,4,2,5,????????????,13646706809?????????,????????????330???,??????,60000,????????? https://hangzhou.anjuke.com
120.180382,30.233587,3,0,3,7,6,2,1,?€?????????????,18857899830?????????,????????????16???,??????,45012,????????? https://hangzhou.anjuke.com
120.209599,30.236421,3,2,6,6,3,1,2,????????€???,17682307521?????????,?????????,??????,40000,????????? https://hangzhou.anjuke.com
120.182091,30.230925,5,3,3,6,4,2,6,????????????,18058773576?????????,???????????????4???,??????,42891,????????? https://hangzhou.anjuke.com
120.298026,30.328388,3,0,2,8,6,2,5,????????????,"400 603 2266
???
73603",?????????????????????????????????,??????,28000,????????? https://hangzhou.anjuke.com
120.000833,30.275771,3,3,5,6,2,2,2,???????????????,"400 603 2266
???
54426",????????????????????€???????????????,??????,35000,????????? https://hangzhou.anjuke.com
120.158928,30.388992,4,5,5,8,3,3,4,???????????????,"400 603 2266
???
62027",???????????????????????????,??????,,????????? https://hangzhou.anjuke.com
120.267552,30.180615,5,4,3,7,4,2,6,????????????,0571-82632310,,????????????,,?????? http://dianhua.mapbar.com
120.297837,30.152106,4,5,6,9,3,5,2,?????????,"400 603 2266
???
61338",????????????999???,,28466,????????? https://hangzhou.anjuke.com
120.266841,30.183913,5,1,2,5,6,2,6,???????????????,"400 603 2266
???
98546",????????????????????????????????€???400???,,34000,????????? https://hangzhou.anjuke.com
